#v1.1-loci	v2.0.0-loci
OG0012187	1173
03_1504	1174
OG0010862	1175
OG0006960	1176
OG0012169	1177
OG0010621	1178
OG0011454	1179
OG0010119	1180
OG0012407	1181
OG0009483	1182
OG0009403	1183
OG0009070	1184
OG0005537	1185
OG0006350	1186
OG0008340	1187
OG0002984	1188
OG0011295	1189
OG0011115	1190
OG0011093	1191
OG0010631	1192
OG0011475	1193
OG0012145	1194
02_2084	1195
OG0009959	1196
OG0008558	1197
OG0012158	1198
OG0010462	1199
OG0012769	1200
OG0010600	1201
OG0012892	1202
OG0012552	1203
OG0011227	1204
OG0011999	1205
OG0011776	1206
OG0011732	1207
07_2349	1208
07_3886	1209
OG0008888	1210
OG0012026	1211
OG0011044	1212
OG0010446	1213
OG0009454	1214
08_1248	1215
07_2590	1216
OG0005419	1217
OG0010259	1218
OG0010536	1219
OG0004691	1220
OG0007631	1221
OG0010638	1222
OG0011479	1223
OG0011861	1224
07_3692	1225
OG0012115	1226
OG0011184	1227
OG0010502	1228
OG0010524	1229
OG0010816	1230
OG0009160	1231
OG0008499	1232
10_1133	1233
OG0003747	1234
OG0010616	1235
OG0011674	1236
OG0011019	1237
OG0007322	1238
OG0002785	1239
OG0006813	1240
08_2997	1241
OG0011462	1242
OG0011639	1243
OG0005432	1244
OG0007738	1245
OG0007519	1246
OG0009458	1247
OG0010408	1248
OG0006889	1249
OG0007136	1250
OG0011814	1251
OG0012255	1252
OG0006679	1253
OG0011463	1254
OG0015041	1255
04_2056	1256
OG0007833	1257
OG0006118	1258
OG0010343	1259
OG0012163	1260
OG0010520	1261
01_2712	1262
OG0012387	1263
OG0013113	1264
OG0019178	1265
OG0015028	1266
OG0012583	1267
OG0016576	1268
OG0011774	1269
OG0010850	1270
OG0012992	1271
OG0016537	1272
OG0019055	1273
07_3436	1274
OG0012240	1275
OG0016527	1276
OG0012512	1277
OG0012469	1278
OG0011655	1279
OG0006983	1280
OG0003315	1281
OG0013051	1282
OG0004821	1283
OG0010345	1284
OG0008903	1285
OG0014668	1286
OG0011070	1287
OG0010115	1288
OG0003218	1289
OG0009716	1290
OG0012166	1291
OG0010092	1292
OG0005704	1293
OG0016615	1294
OG0003584	1295
OG0004833	1296
OG0004056	1297
OG0004722	1298
OG0007325	1299
OG0008028	1300
OG0006535	1301
OG0009410	1302
OG0010880	1303
OG0008598	1304
OG0008100	1305
OG0003982	1306
OG0011709	1307
OG0012113	1308
OG0010167	1309
OG0005325	1310
OG0012414	1311
OG0012250	1312
OG0011481	1313
OG0010224	1314
OG0006003	1315
OG0012868	1316
OG0012061	1317
OG0009223	1318
OG0007926	1319
Unassigned_989	1320
OG0012569	1321
OG0009946	1322
OG0009517	1323
OG0009913	1324
OG0010253	1325
07_3714	1326
OG0011300	1327
OG0012060	1328
05_2898	1329
Unassigned_41	1330
OG0008453	1331
OG0013282	1332
OG0011234	1333
OG0008332	1334
OG0006594	1335
OG0009649	1336
OG0014113	1337
OG0012764	1338
OG0004660	1339
OG0009162	1340
OG0008505	1341
OG0012875	1342
04_135	1343
OG0007110	1344
OG0010982	1345
OG0008689	1346
OG0011990	1347
OG0010949	1348
OG0007554	1349
OG0010063	1350
OG0007943	1351
OG0005767	1352
OG0008115	1353
OG0008960	1354
OG0011512	1355
OG0011767	1356
OG0007622	1357
OG0012443	1358
OG0002253	1359
03_1615	1360
OG0005516	1361
OG0010228	1362
OG0009660	1363
OG0011447	1364
OG0008516	1365
OG0011151	1366
OG0006196	1367
OG0005306	1368
OG0005064	1369
08_745	1370
OG0005921	1371
OG0017496	1372
OG0011004	1373
OG0011523	1374
OG0009602	1375
OG0005359	1376
OG0011597	1377
OG0007094	1378
OG0010237	1379
OG0011047	1380
OG0010574	1381
OG0013015	1382
OG0011832	1383
OG0011113	1384
OG0011397	1385
OG0008178	1386
OG0008574	1387
OG0008146	1388
OG0011022	1389
OG0011973	1390
OG0007474	1391
OG0003508	1392
01_439	1393
OG0004190	1394
OG0011793	1395
OG0007934	1396
OG0015666	1397
OG0008477	1398
OG0012070	1399
01_105	1400
OG0012268	1401
OG0010957	1402
Unassigned_967	1403
OG0007157	1404
OG0009237	1405
OG0008510	1406
OG0008366	1407
OG0010602	1408
01_1461	1409
OG0007220	1410
OG0008914	1411
01_714	1412
OG0009593	1413
OG0011217	1414
OG0008280	1415
OG0007980	1416
OG0006268	1417
OG0009668	1418
OG0011137	1419
OG0008125	1420
OG0011648	1421
OG0009231	1422
OG0007714	1423
OG0010150	1424
OG0009802	1425
OG0009466	1426
OG0011737	1427
OG0012394	1428
OG0010793	1429
OG0008374	1430
OG0009150	1431
OG0011441	1432
OG0010461	1433
OG0010920	1434
OG0011451	1435
OG0010579	1436
OG0006846	1437
OG0010386	1438
OG0005999	1439
OG0009973	1440
OG0010135	1441
OG0005749	1442
OG0009594	1443
OG0010562	1444
OG0007183	1445
OG0008295	1446
OG0009097	1447
OG0010966	1448
OG0008773	1449
OG0012173	1450
OG0004401	1451
OG0009116	1452
OG0011565	1453
OG0011276	1454
OG0006259	1455
OG0010929	1456
OG0009659	1457
OG0010971	1458
OG0011041	1459
OG0008473	1460
OG0016482	1461
04_1353	1462
OG0012049	1463
OG0007523	1464
OG0010089	1465
OG0008707	1466
OG0011085	1467
OG0009139	1468
OG0012004	1469
OG0012205	1470
08_1123	1471
OG0010841	1472
OG0011662	1473
OG0009189	1474
OG0010250	1475
OG0014607	1476
OG0011062	1477
OG0011927	1478
OG0011750	1479
OG0008397	1480
OG0008402	1481
OG0007098	1482
OG0012075	1483
OG0011954	1484
OG0007488	1485
OG0012408	1486
OG0011197	1487
OG0014114	1488
OG0011144	1489
OG0017609	1490
OG0012810	1491
OG0012399	1492
OG0007118	1493
OG0005893	1494
OG0006272	1495
OG0006644	1496
OG0009108	1497
OG0010969	1498
OG0007674	1499
OG0006488	1500
OG0005590	1501
OG0008733	1502
OG0007525	1503
OG0012582	1504
OG0012206	1505
OG0008843	1506
OG0009445	1507
01_2541	1508
OG0006450	1509
03_3064	1510
OG0006420	1511
OG0003416	1512
OG0011478	1513
OG0009807	1514
OG0010837	1515
OG0009671	1516
OG0009012	1517
OG0009667	1518
OG0011619	1519
OG0011284	1520
OG0008348	1521
OG0003706	1522
OG0010445	1523
OG0011467	1524
OG0010075	1525
OG0008719	1526
OG0009794	1527
OG0012267	1528
OG0012565	1529
OG0009684	1530
OG0009425	1531
OG0011497	1532
05_3441	1533
OG0012502	1534
OG0008994	1535
OG0008389	1536
OG0011626	1537
OG0010522	1538
09_109	1539
OG0010321	1540
OG0012831	1541
OG0005167	1542
04_1159	1543
OG0009296	1544
01_3477	1545
OG0006625	1546
OG0010369	1547
OG0006830	1548
OG0005188	1549
OG0010050	1550
OG0009262	1551
OG0007491	1552
OG0010637	1553
OG0010666	1554
OG0006977	1555
OG0008319	1556
OG0008544	1557
05_1256	1558
OG0006769	1559
